activation,hidden_nodes,lr,dropout,lambda1,lambda2,optimizer,momentum,train_acc,val_acc,final_loss
sigmoid,"[64, 64]",0.0001,0.0,0.0,0.01,momentum,0.99,0.27416666666666667,0.285,18.56690314958827
sigmoid,"[64, 64]",0.0001,0.0,0.0001,0.0,adam,0.0,0.435625,0.45666666666666667,1.4381626524325517
sigmoid,"[64, 64]",0.0001,0.0,0.0001,0.0,momentum,0.9,0.33770833333333333,0.31833333333333336,1.7152286651272095
sigmoid,"[64, 64]",0.0001,0.0,0.0001,0.0,momentum,0.99,0.34479166666666666,0.335,2.8428958637221435
sigmoid,"[64, 64]",0.0001,0.0,0.0001,0.0001,adam,0.0,0.305,0.30333333333333334,1.849571451074242
sigmoid,"[64, 64]",0.0001,0.0,0.0001,0.0001,momentum,0.9,0.28770833333333334,0.32166666666666666,3.828505135854948
sigmoid,"[64, 64]",0.0001,0.0,0.0001,0.0001,momentum,0.99,0.3329166666666667,0.34,2.3592404774545743
sigmoid,"[64, 64]",0.0001,0.0,0.0001,0.01,adam,0.0,0.39958333333333335,0.3933333333333333,18.245016774702616
sigmoid,"[64, 64]",0.0001,0.0,0.0001,0.01,momentum,0.9,0.3525,0.3516666666666667,18.724635692152994
sigmoid,"[64, 64]",0.0001,0.0,0.0001,0.01,momentum,0.99,0.33229166666666665,0.33,20.028087120120265
sigmoid,"[64, 64]",0.0001,0.5,0.0,0.0,adam,0.0,0.3466666666666667,0.36666666666666664,2.6987176780702793
sigmoid,"[64, 64]",0.0001,0.5,0.0,0.0,momentum,0.9,0.31854166666666667,0.325,3.160466684537003
sigmoid,"[64, 64]",0.0001,0.5,0.0,0.0,momentum,0.99,0.3129166666666667,0.30833333333333335,3.3957208627286466
sigmoid,"[64, 64]",0.0001,0.5,0.0,0.0001,adam,0.0,0.46479166666666666,0.44666666666666666,3.0864089199781044
sigmoid,"[64, 64]",0.0001,0.5,0.0,0.0001,momentum,0.9,0.3310416666666667,0.32166666666666666,2.947498218671737
