activation,hidden_nodes,lr,dropout,lambda1,lambda2,optimizer,momentum,train_acc,val_acc,final_loss
sigmoid,"[32, 32]",0.001,0.0,0.001,0.001,momentum,0.9,0.11005434782608696,0.11956521739130435,3.7816086760113157
sigmoid,"[32, 32]",0.001,0.0,0.001,0.001,momentum,0.99,0.042119565217391304,0.03260869565217391,3.8387534583977474
sigmoid,"[32, 32]",0.001,0.0,0.001,0.01,adam,0.0,0.7581521739130435,0.75,6.756510031633434
sigmoid,"[32, 32]",0.001,0.0,0.001,0.01,momentum,0.8,0.27309782608695654,0.34782608695652173,10.793936266681925
sigmoid,"[32, 32]",0.001,0.0,0.001,0.01,momentum,0.9,0.44429347826086957,0.4782608695652174,9.047859377053989
sigmoid,"[32, 32]",0.001,0.0,0.001,0.01,momentum,0.99,0.07065217391304347,0.07608695652173914,11.193009036937866
sigmoid,"[32, 32]",0.001,0.2,0.0,0.0,adam,0.0,0.7894021739130435,0.8260869565217391,0.6817787530732313
sigmoid,"[32, 32]",0.001,0.2,0.0,0.0,momentum,0.8,0.4470108695652174,0.44565217391304346,2.1575362061065064
sigmoid,"[32, 32]",0.001,0.2,0.0,0.0,momentum,0.9,0.41440217391304346,0.45652173913043476,1.6008608582001729
sigmoid,"[32, 32]",0.001,0.2,0.0,0.0,momentum,0.99,0.4470108695652174,0.44565217391304346,1.939189727454153
sigmoid,"[32, 32]",0.001,0.2,0.0,0.0001,adam,0.0,0.8165760869565217,0.8260869565217391,0.7736636377494425
sigmoid,"[32, 32]",0.001,0.2,0.0,0.0001,momentum,0.8,0.41847826086956524,0.44565217391304346,1.952577068177742
sigmoid,"[32, 32]",0.001,0.2,0.0,0.0001,momentum,0.9,0.5529891304347826,0.5543478260869565,2.247517302383484
sigmoid,"[32, 32]",0.001,0.2,0.0,0.0001,momentum,0.99,0.4470108695652174,0.44565217391304346,2.2795363513232623
sigmoid,"[32, 32]",0.001,0.2,0.0,0.001,adam,0.0,0.8192934782608695,0.8260869565217391,1.1225057848597104
sigmoid,"[32, 32]",0.001,0.2,0.0,0.001,momentum,0.8,0.5081521739130435,0.5,2.1499603641257052
sigmoid,"[32, 32]",0.001,0.2,0.0,0.001,momentum,0.9,0.5081521739130435,0.5434782608695652,1.9597289093281574
sigmoid,"[32, 32]",0.001,0.2,0.0,0.001,momentum,0.99,0.4171195652173913,0.43478260869565216,2.4663854316718945
sigmoid,"[32, 32]",0.001,0.2,0.0,0.01,adam,0.0,0.7472826086956522,0.7717391304347826,5.910506333383741
sigmoid,"[32, 32]",0.001,0.2,0.0,0.01,momentum,0.8,0.008152173913043478,0.010869565217391304,9.496621894777402
sigmoid,"[32, 32]",0.001,0.2,0.0,0.01,momentum,0.9,0.4320652173913043,0.43478260869565216,8.34027187269121
sigmoid,"[32, 32]",0.001,0.2,0.0,0.01,momentum,0.99,0.004076086956521739,0.0,9.765971806486544
sigmoid,"[32, 32]",0.001,0.2,0.0001,0.0,adam,0.0,0.7717391304347826,0.782608695652174,0.8522919827668173
sigmoid,"[32, 32]",0.001,0.2,0.0001,0.0,momentum,0.8,0.45108695652173914,0.45652173913043476,1.3982953242538727
sigmoid,"[32, 32]",0.001,0.2,0.0001,0.0,momentum,0.9,0.47690217391304346,0.42391304347826086,1.3355317599189536
sigmoid,"[32, 32]",0.001,0.2,0.0001,0.0,momentum,0.99,0.4470108695652174,0.44565217391304346,3.1624324148295875
sigmoid,"[32, 32]",0.001,0.2,0.0001,0.0001,adam,0.0,0.8029891304347826,0.8260869565217391,1.0625099520415835
